汉语原文	人工翻译结果
在希腊克里特岛和圣托里尼米诺斯城市的房屋中发现了污水系统的遗迹。	ཀེ་རི་སེའི་ཁེ་ལི་ཐེ་གླིང་ཕྲན་དང་ཧྲེང་ཐོ་ལི་ཉི་སྨི་ནུའོ་སི་གྲོང་ཁྱེར་གྱི་ཁང་པའི་ནང་བཙོག་ཆུའི་མ་ལག་གི་རྗེས་ཤུལ་རྙེད་པ་རེད།
古埃及、波斯和中国也有厕所。在罗马文明中，厕所有时是男女混合的公共浴室的一部分。	གནའ་བོའི་ཨེ་ཅིབ་དང་། པོ་སི་དང་ཀྲུང་གོ་ལའང་སྤྱོད་ཁང་ཡོད། རོ་མའི་ཤེས་རིག་ཁྲོད་སྤྱོད་ཁང་ནི་སྐབས་འགར་ཕོ་མོ་མཉམ་བསྲེས་ཀྱི་སྤྱི་པའི་ཁྲུས་ཁང་གི་ཆ་ཤས་ཤིག་ཡིན་དུས་ཀྱང་ཡོད།
你给远在千里之外的人打电话，就会用到卫星。	ཁྱོད་ཀྱིས་ལེ་བར་སྟོང་གི་ཕྱི་ན་ཡོད་པའི་མི་ལ་ཁ་པར་བཏང་ན་འཁོར་སྐར་བཀོལ་ཐུབ།
太空中的卫星接到电话后，几乎是立刻将其反射回去。	བར་སྣང་མཐོང་གི་འཁོར་སྐར་ལ་ཁ་པར་འབྱོར་རྗེས།  ཕལ་ཆེར་འཕྲལ་མར་ཕྱིར་ལྡོག་བྱེད་ཀྱི་རེད།
卫星是由火箭发射到太空的。科学家在太空中使用望远镜是因为地球的大气层让某些光线和视野产生扭曲。	འཁོར་སྐར་ནི་མེ་ཤུགས་འཕུར་མདའ་མཁའ་དབྱིངས་སུ་འཕངས་པ་རེད། ཚན་རིག་པས་མཁའ་དབྱིངས་སུ་རྒྱང་མཐོང་བཀོལ་བ་ནི་སའི་གོ་ལའི་རླུང་ཁམས་ཆེན་པོའི་བང་རིམ་གྱིས་འོད་ཐིག་དང་མཐོང་རྒྱར་འགྱུར་ལྡོག་བྱུང་བའི་རྐྱེན་གྱིས་རེད།
要把卫星或望远镜送入太空，需要一枚超过 100 英尺高的巨型火箭。	འཁོར་སྐར་དང་རྒྱང་ཤེལ་བར་སྣང་དུ་སྐྱེལ་དགོས་ན་མཐོ་ཚད་དབྱིན་ཁྲི་100ལས་བརྒལ་བའི་མེ་ཤུགས་འཕུར་མདའ་ཆེན་པོ་ཞིག་དགོས།
车轮以不可思议的方式改变了世界。车轮对我们最大的贡献，是让我们的交通更加便捷。	འཁོར་ལོ་ནི་བསམ་ཡུལ་ལས་འདས་པའི་རྣམ་པའི་ཐོག་ནས་འཛམ་གླིང་ལ་འགྱུར་ལྡོག་བྱུང་བ་རེད། འཁོར་ལོས་ང་ཚོར་བཞག་པའི་བྱས་རྗེས་ཆེ་ཤོས་ནི་ང་ཚོའི་འགྲིམ་འགྲུལ་སྔར་བས་སྟབས་བདེ་ཡོང་བ་བྱ་རྒྱུ་དེ་རེད།
有了它，我们才有了火车、汽车和许多其他交通工具。	དེ་ཡོད་ནས་ད་གཟོད་ང་ཚོར་མེ་འཁོར་དང་རླངས་འཁོར། འགྲིམ་འགྲུལ་ཡོ་བྱད་གཞན་དག་མང་པོ་ཡོད།
警方说他们怀疑一名疑似伊斯兰国 (ISIL) 的武装分子发动了这场袭击。	ཉེན་རྟོག་པས་བརྗོད་ན་ཁོ་ཚོས་དབྱི་སི་ལན་རྒྱལ་ཁབ(ISIL)ཡིན་པར་དོགས་པའི་དྲག་ཆས་མི་སྣ་ཞིག་གིས་འཇབ་རྒོལ་འདི་བསླངས་སོང་ཟེར།
它们的下方是更多中等大小的猫科动物，它们吃的是中等大小的猎物，从兔子、羚羊到鹿都会吃。	དེ་དག་གི་འོག་ན་བྱི་ལ་ཆེ་འབྲིང་ཆུང་གསུམ་བཅས་ཚན་པ་བྱས་པའི་སྲོག་ཆགས་མང་ཙམ་ཡོད། དེ་དག་གིས་ཟ་བཞིན་པ་ནི་ཆེ་ཆུང་འབྲིང་ཙམ་གྱི་རྔོན་དངོས་ཡིན་པས་རི་བོང་དང་གཙོད། ཤྭ་བ་སོགས་ཟ་བཞིན་ཡོད།
最终，有许多小型的猫科动物（包括散养的宠物猫），以昆虫、啮齿动物、蜥蜴和鸟类等数量多得多的小型猎物为食。	མཇུག་མཐར་བྱི་ལའི་ཚན་གྱི་སྲོག་ཆགས་ཆུང་གྲས（ཐོར་གསོ་བྱས་པའི་བྱི་ལ་ཚུད་པ）མང་པོ་ཞིག་གིས་འབུ་སྲིན་དང་། སོ་མི་བརྗེ་བའི་སྲོག་ཆགས། རྩངས་པ། འདབ་ཆགས་རིགས་སོགས་གྲངས་འབོར་ཧ་ཅང་མང་བའི་རྔོན་དངོས་ཟ་རུ་བཅུག་པ་རེད།
它们成功的秘诀是利基概念，每只猫都负责一项特殊的工作，防止它们与其他猫竞争。	དེ་དག་ལེགས་འགྲུབ་བྱུང་བའི་མན་ངག་ནི་ལི་ཅིས་དོན་སྤྱི་ཡིན་པ་དང་ཞི་མི་རེ་རེ་དམིགས་བསལ་གྱི་ལས་ཀ་ཞིག་གི་འགན་ཁུར་ནས་དེ་དག་དང་ཞི་ལ་གཞན་དག་བར་འགྲན་རྩོད་བྱེད་པར་སྔོན་འགོག་བྱ་དགོས།
狮子是群居属性最明显的猫科动物，生活在称为狮群的大型群体中。	སེང་གེ་ནི་ཚོགས་པའི་རང་བཞིན་མངོན་གསལ་དོད་ཤོས་ཀྱི་བྱི་ལའི་ཚན་ཁག་གི་སྲོག་ཆགས་ཤིག་ཡིན་པ་དང་དེར་སེང་གེའི་ཁྱུ་ཚོགས་ཞེས་འབོད་པའི་ཁྱུ་ཚོགས་ཆེ་གྲས་ཁྲོད་འཚོ་བ་སྐྱེལ་བཞིན་ཡོད།
狮群由一到三只有亲属关系的成年雄性，以及可多达三十只的雌性和幼崽组成。	སེང་ཁྱུ་ནི་གཉེན་ཉེའི་འབྲེལ་བ་ཙམ་ལས་མེད་པའི་ཕོ་རིགས་དར་མ་གཅིག་ནས་གསུམ་བར་དང་དེ་བཞིན་མོ་སེང་དང་ཕྲུ་གུ་སུམ་ཅུ་ལྷག་ལས་གྲུབ་ཡོད།
作为大家庭里的姐妹和女儿，雌性之间通常彼此关系密切。	ཁྱིམ་ཚང་ཆེན་པོའི་ནང་གི་གཅེན་མོ་དང་བུ་མོ་ཞིག་ཡིན་པའི་ཆ་ནས། མོ་རིགས་བར་རྒྱུན་པར་ཕན་ཚུན་གྱི་འབྲེལ་བ་ཉེ་པོ་ཡོད།
狮群的行为与狼群或狗群非常类似。这些动物与狮子的行为惊人地相似（但与其他大型猫科动物不同），而且这些行为对它们的猎物来说也是非常致命的。	སེང་གེའི་ཁྱུའི་བྱ་སྤྱོད་དང་སྤྱང་ཚོགས་དང་ཁྱི་ཁྱུ་སོགས་ལས་ཧ་ཅང་རིགས་འདྲ་རེད། སྲོག་ཆགས་འདི་དག་སེང་གེའི་བྱ་སྤྱོད་དང་ཧ་ལས་པ་འདྲ་བར（འོན་ཀྱང་བྱི་ལའི་ཚན་གྱི་སྲོག་ཆགས་ཆེ་གྲས་གཞན་དང་མི་འདྲ་བར）བྱ་སྤྱོད་འདི་དག་ཀྱང་དེ་དག་གི་རྔོན་དངོས་ལ་མཚོན་ན་ཧ་ཅང་སྲོག་ཉེན་ཆེ་བ་རེད།
老虎是全能运动员，它会攀爬（虽然攀爬能力不是很强）、游泳、跳远，拉力能达到人类大力士的五倍。	སྟག་ནི་ཀུན་ཐུབ་ལུས་རྩལ་པ་ཞིག་ཡིན། དེ་འཛེགས་བྱེད་ཤེས་(འཛེགས་ནུས་པ་དེ་འདྲ་མི་ཆེ་རུང་) ཆུ་རྐྱལ་དང་རྒྱང་མཆོང་དང་འཐེན་ཤུགས་མིའི་རིགས་ཀྱི་སྟོབས་ཤུགས་ཆེན་པོའི་ལྡབ་ལྔ་ལ་སླེབས་ཐུབ།
老虎与狮、豹和美洲虎属于同一类型（豹属）。这四种大猫是仅有的会吼叫的猫科动物。	སྟག་དང་སེང་གེ་གཟིག་དང་གླིང་ཆེན་ཨ་མེ་རི་ཁའི་སྟག་ནི་རིགས་གཅིག་གི་ཁོངས་སུ་གཏོགས། ཞི་ལ་ཆེན་པོ་འདི་བཞི་བོ་ནི་ངར་སྐད་རྒྱག་ཤེས་པའི་བྱི་ལའི་ཚན་ཁག་གི་སྲོག་ཆགས་ཡིན།
老虎的咆哮不像狮子的咆哮那样深沉，而更像一句生气嘶吼的话语。	སྟག་གིས་ངར་སྐད་སྒྲོག་བཞིན་པ་དེ་སེང་གེའི་ངར་སྐད་སྒྲོག་པ་ལྟར་གཏིང་དུ་བྱིངས་པ་དང་མི་འདྲ་ལ། དེ་ལས་ཀྱང་ངར་སྐད་སྒྲོག་པའི་སྐད་ཆ་ཞིག་དང་འདྲ།
他们发现，太阳和其他恒星的运行原理是一样的：星系中所有恒星的活跃度都完全决定于它们的光度和自转。	ཁོ་ཚོས་ཉི་མ་དང་བརྟན་སྐར་གཞན་དག་གི་འཁོར་སྐྱོད་ཀྱི་རྩ་བའི་རིགས་པ་ནི་གཅིག་འདྲ་ཡིན་པ་ཤེས་པ་སྟེ།  སྐར་མའི་མ་ལག་ནང་གི་བརྟན་སྐར་ཡོད་ཚད་འཁྲུག་པོར་འགྱུར་ཚད་དེ་དག་གི་འོད་ཀྱི་ཚད་དང་རང་གི་འཁོར་ཚད་ལ་རག་ལས་ཡོད།
豹猫喜欢吃小动物。如果条件允许，他们会捕捉猴子、蛇、啮齿动物和鸟类。豹猫的猎物几乎都比自身要小得多。	རི་ཞུམ་སྲོག་ཆགས་ཆུང་ཆུང་ཟ་རྒྱུར་དགའ། གལ་ཏེ་ཆ་རྐྱེན་གྱིས་ཆོག་ན། ཁོ་ཚོས་སྤྲེའུ་དང་སྦྲུལ་དང་སོ་མི་བརྗེ་བའི་སྲོག་ཆགས་དང་བྱ་རིགས་ཀྱང་འཛིན་ངེས་ཡིན། རི་ཞུམ་གྱི་རྔོན་དངོས་ཕལ་ཆེར་རང་ཉིད་ལས་ཧ་ཅང་ཆུང་།
科学家认为，美洲豹猫是通过气味和嗅探猎物在地面上的踪迹来跟踪和寻找要捕食的动物的。	ཚན་རིག་པའི་འདོད་ཚུལ་ལྟར་ན། ཨ་མེ་རི་ཁའི་གླིང་ཆེན་རི་ཞུམ་ནི་དྲི་མ་དང་དྲི་སྣོམ་སྲོག་ཆགས་ཀྱི་ས་ངོས་ཀྱི་རྗེས་ཤུལ་ལ་བརྟེན་ནས་ལྟོ་འཚོལ་དགོས་པའི་སྲོག་ཆགས་ཤིག་ཡིན་ལ། དེས་གཙོ་བོ་རྗེས་སྙེག་དང་རྗེས་འདེད་ཀྱི་གཟན་འཚོལ་ཞིབ་བྱེད་པ་ཞིག་ཡིན།
它们的夜视能力很强，能在黑暗中看得很清楚，而且行动也很隐秘。豹猫的捕食方式是先融入周围环境，然后猛扑向猎物。	དེ་ཚོའི་མཚན་མཐོང་གི་ནུས་པ་ཧ་ཅང་ཆེ་བས་མུན་ནག་གི་ཁྲོད་དུ་ཧ་ཅང་གསལ་པོར་མཐོང་ཐུབ་པར་མ་ཟད།བྱ་སྤྱོད་ཀྱང་གསང་བ་ལྡན་པ་ཞིག་རེད། རི་ཞུམ་གྱི་རྔོན་ཐབས་ནི་སྔོན་ལ་མཐའ་འཁོར་གྱི་ཁོར་ཡུག་ནང་འཛུལ་བ་དང་། དེ་ནས་རྔོན་དངོས་ཀྱི་ཕྱོགས་སུ་མཆོངས་སྐྱོད་བྱེད་པ་དེ་རེད།
当一小群生物（一个小种群）与它们本来的主要种群分离时（比如它们跨过山脉和河流，或者它们到了一个新的岛屿以至于不可能轻易回去)，它们通常会发现自己所处的环境与之前不同。	སྐྱེ་དངོས་ཁྱུ་གཅིག（ཁྱུ་ཚོགས་ཆུང་ཆུང་ཞིག）གི་དེ་དག་གི་མ་གཞི་ཁྱུ་ཚོགས་གཙོ་བོ་དང་ཁ་གྱེས་པའི་སྐབས་སུ（དཔེར་ན་དེ་དག་རི་རྒྱུད་དང་གཙང་པོ་བརྒལ་བའམ་ཡང་ན་དེ་དག་གླིང་ཕྲན་གསར་པ་ཞིག་ཏུ་སླེབས་ནས་ལས་སླ་པོར་ཕྱིར་ལོག་མི་སྲིད）དེ་ཚོས་རྟག་ཏུ་རང་ཉིད་གནས་པའི་ཁོར་ཡུག་དེ་སྔོན་དང་མི་འདྲ་བ་མཐོང་ཐུབ།
这个新的环境有不同的资源和不同的竞争对手，所以新的种群将需要不同的特征或适应能力来成为一个强有力的竞争对手，而不是它们之前所需要的那些。	ཁོར་ཡུག་གསར་པ་དེར་ཐོན་ཁུངས་མི་འདྲ་བ་དང་འགྲན་ཟླ་མི་འདྲ་བ་ཡོད་པར་བརྟེན་ཁྱུ་ཚོགས་གསར་པ་དེར་ཁྱད་ཆོས་མི་འདྲ་བ་ལྡན་པའམ་ཡང་ན་འཕྲོད་ནུས་མི་འདྲ་བའི་ཐོག་ནས་འགྲན་ཟླ་སྟོབས་དང་ལྡན་པ་ཞིག་ཏུ་འགྱུར་བ་བྱ་དགོས་པ་ལས་དེ་དག་ལ་སྔོན་ཆད་མཁོ་བའི་རིགས་དེ་དག་མིན།
原来的种群根本没有改变，它们仍需要和以前一样适应环境。	སྔར་གྱི་ཁྱུ་ཚོགས་ལ་རྩ་བའི་ཆ་ནས་འགྱུར་ལྡོག་བྱུང་མེད་པ་དང་།  དེ་དག་སྔར་བཞིན་སྔོན་ཆད་དང་འདྲ་བར་ཁོར་ཡུག་འཕྲོད་དགོས་ཀྱི་ཡོད།
随着时间的推移，新的种群开始适应新的环境，它们开始变得与其他种群越来越不相似了。	དུས་ཚོད་འདས་པ་དང་བསྟུན་ནས་ཁྱུ་ཚོགས་གསར་པ་དེ་ཁོར་ཡུག་གསར་པ་དང་འཕྲོད་འགོ་ཚུགས་པས་ཁྱུ་ཚོགས་གཞན་དག་དང་སྔར་བས་མི་འདྲ་བར་གྱུར་ཡོད།
在历经数千甚至数百万年以后，这两个种群最终看上去会截然不同，以致于不能将两者称作同一物种。	ལོ་ངོ་སྟོང་ཕྲག་དུ་མ་དང་ཐ་ན་ལོ་ངོ་ཁྲི་ཕྲག་མང་པོའི་རྗེས་སུ།  རིགས་ཁྱུ་དེ་གཉིས་ལ་མཐའ་མར་བལྟས་ན་གཏན་ནས་མི་འདྲ་བས།  བྱས་ཙང་དེ་གཉིས་ལ་སྐྱེ་དངོས་རིགས་གཅིག་ཅེས་བརྗོད་མི་རུང་།
我们把这个过程称为“物种形成”，也就是新物种的形成。物种形成是进化的必然结果，也是进化中极为重要的一环。	ང་ཚོས་བརྒྱུད་རིམ་འདི་ལ“སྐྱེ་དངོས་རིགས་གྲུབ་པ”ཞེས་འབོད་པ་དེའང་སྐྱེ་དངོས་རིགས་གསར་པ་གྲུབ་པ་རེད། སྐྱེ་དངོས་རིགས་གྲུབ་པ་ནི་འཕེལ་འགྱུར་གྱི་ལྡོག་མེད་འབྲས་བུ་ཡིན་ལ། འཕེལ་འགྱུར་ཁྲོད་ཀྱི་ཆེས་གལ་ཆེ་བའི་ལྷུ་ཚིགས་ཤིག་ཀྱང་ཡིན།
植物能制造人类吸入的氧气，吸收人类呼出的二氧化碳。	རྩི་ཤིང་གིས་མིའི་རིགས་ཀྱིས་རྔུབ་པའི་དབྱང་རླུང་བཟོ་སྐྲུན་བྱེད་ཐུབ་པ་དང་། མིའི་རིགས་ཀྱིས་བཏོན་པའི་དབྱང་གཉིས་ཐན་འགྱུར་བསྡུ་ལེན་བྱེད་ཐུབ།
一颗恒星的罗斯贝数由其光度和旋度共同决定，与等离子体流有关。	བརྟན་སྐར་ཞིག་ཡིན་པའི་རོ་སི་པེ་ནི་དེའི་འོད་ཚད་དང་འཁྱིལ་ཚད་གཉིས་ཀྱིས་མཉམ་དུ་ཐག་གཅོད་པ་དང་དེ་ནི་གྱེས་རྡུལ་གཟུགས་རྒྱུན་དང་འབྲེལ་བ་ཡོད།
植物通过光合作用从阳光中获取养分。它们还能提供荫凉。	རྩི་ཤིང་གིས་འོད་སྦྱོར་ནུས་པ་ལ་བརྟེན་ནས་ཉི་འོད་ཁྲོད་ནས་བཅུད་ལེནཔ་མ་ཟད། ད་དུང་བསིལ་གྲིབ་མཁོ་སྤྲོད་བྱེད་ཐུབ།
我们用植物做房子，用植物做衣服。我们吃的大部分食物都是植物。没有植物，动物就不能生存。	ང་ཚོས་རྩི་ཤིང་གིས་ཁང་པ་བཟོ་བ་དང་།རྩི་ཤིང་གིས་གྱོན་གོས་བཟོ་བ་ཡིན།ང་ཚོས་ཟས་པའི་ཟས་རིགས་མང་ཆེ་བ་ནི་རྩི་ཤིང་ཡིན།རྩི་ཤིང་མེད་ན་སྲོག་ཆགས་འཚོ་མི་ཐུབ།
沧龙是那个时代的顶级掠食者，除了同类它什么都不怕。	ཚང་ལོང་ནི་དུས་རབས་དེའི་རིམ་པ་མཐོ་ཤོས་ཀྱི་ཟ་འཕྲོག་མཁན་ཡིན་ལ། རིགས་གཅིག་པ་ཕུད་པ་ལས་གང་ལའང་མི་སྐྲག་པ་རེད།
它的长下颚上布满了 70 多颗剃刀般锋利的牙齿，上颚上还有一排。这意味着任何与它相遇的东西都无路可逃。	དེའི་མགལ་རིང་གི་མགལ་མའི་སྟེང་དུ་བཞར་གྲི་ལྟ་བུའི་རྣོ་ངར་ལྡན་པའི་སོ་70ལྷག་ཡོད་པ་དང་། ཡ་མགལ་དུ་ད་དུང་གྲལ་གཅིག་ཡོད། འདིས་ཁོ་དང་འཕྲད་པའི་དངོས་པོ་གང་ཡིན་རུང་ཚང་མ་བྲོས་ཐབས་མེད་པ་མཚོན།
它的舌头有可能是分叉的，对此我们尚不确定。它的食物包括海龟、大型鱼类、其他沧龙，甚至会吃人。	དེའི་ལྕེ་ནི་ཁ་གྱེས་པའི་ངེས་པ་ཡོད་ཀྱང་སྲིད། འདི་ང་ཚོས་ད་དུང་གཏན་འཁེལ་བྱེད་མི་ཐུབ། དེའི་ཟས་རིགས་ལ་རྒྱ་མཚོའི་རུས་སྦལ་དང་། ཉ་རིགས་ཆེ་གྲས། ཚང་ལུང་གཞན་དག་བཅས་འདུས་པ་མ་ཟད། ཐ་ན་མིའང་ཟ་སྲིད།
它会攻击任何进入水中的东西；即使像霸王龙之类的巨型恐龙也不是它的对手。	དེས་ཆུ་ནང་དུ་སོང་བའི་དངོས་པོ་གང་རུང་ལ་ཕར་རྒོལ་བྱེད་སྲིད།  བཙན་བདག་འབྲུག་ལྟ་བུའི་གཏུམ་འབྲུག་ཆེན་པོ་ཡང་དེའི་འགྲན་ཡ་མིན།
尽管罗马人的大部分食物是我们所常见的，但他们确实有一些奇怪或不寻常的宴会菜肴，包括野猪、孔雀、蜗牛和一种叫做榛睡鼠的啮齿动物	རོ་མའི་མིའི་ཟས་རིགས་མང་ཆེ་བ་ནི་ང་ཚོས་རྒྱུན་དུ་མཐོང་རྒྱུ་ཡོད། འོན་ཀྱང་ཁོ་ཚོས་དངོས་གནས་ཁ་ཤས་ཁྱད་མཚར་དང་ཡང་ན་རྒྱུན་ལྡན་མིན་པའི་གསོལ་སྟོན་ཚལ་རིགས་དང་། དེའི་ནང་ཕག་རྒོད་དང་། རྨ་བྱའི་འབུ་སྐྱོགས་དང་བྱི་བ་ཀྲིན་ཧྲིས་ཞེས་འབོད་པའི་མཆེ་མེད་སྲོག་ཆགས་དང་།
另一个不同之处在于，穷人和女人坐在椅子上吃饭，富人则喜欢聚在一起举行宴会，侧卧着吃饭。	མི་འདྲ་ས་གཞན་ཞིག་ནི་དབུལ་པོ་དང་བུད་མེད་རྣམས་རྐུབ་སྟེགས་ཐོག་བསྡད་ནས་ལྟོ་ཟ་བ་དང་།ཕྱུག་པོ་ཚོ་མཉམ་དུ་འཛོམས་ནས་གསོལ་སྟོན་བཤམས་ཏེ་གཞོགས་གཅིག་ཏུ་ཉལ་ནས་ལྟོ་ཟ་རྒྱུར་དགའ་པོ་ཡོད་པ་དེ་རེད།
几个世纪后从美洲或亚洲传入欧洲的食物不可能出现在古罗马人的饮食当中。	དུས་རབས་འགའི་རྗེས་སུ་མེ་གླིང་ངམ་ཡ་གླིང་ནས་ཡོབ་གླིང་དུ་དར་བའི་ཟས་རིགས་གནའ་བོའི་རོ་མའི་མིའི་བཟའ་བཏུང་ཁྲོད་འབྱུང་མི་སྲིད།
例如，他们没有玉米、西红柿、土豆和可可，也没有哪个古罗马人吃过火鸡。	དཔེར་ན། ཁོང་ཚོར་མ་རྨོས་ལོ་ཏོག་དང་། ཀྲོ་མ་ཀྲུ། ཞོག་ཁོག ཁོ་ཁོ་བཅས་མེད་ལ། གནའ་བོའི་རོ་མའི་མི་སུ་ཞིག་གིས་ཀྱང་བྱ་དེའང་ཟས་མྱོང་མེད།
罗斯贝数越小，恒星在磁场倒转方面就越不活跃。	ལོ་སི་པེ་གྲངས་ཀ་ཇེ་ཆུང་ནས་ཇེ་ཆུང་རེད།བརྟན་སྐར་ནི་ཁབ་ལེན་ར་བའི་ལྡོག་འཁོར་ཐད་ནས་དེ་འདྲ་འཁྲུག་པོ་མེད།
巴比伦人为他们每位神祇都建造了一座主殿，将其视为该神居所。	པཱ་པི་ལུན་གྱིས་ཁོང་ཚོ་ལྷ་ཏ་རིས་ལྷ་ཁང་རེ་རེ་བཞིན་བསྐྲུན་ཡོད་པས་དེ་ནི་ལྷ་གནས་དེར་བརྩི་གི་ཡོད།
人们会把祭品献给神，牧师会通过仪式和节庆来满足神的需要。	མི་རྣམས་ཀྱིས་མཆོད་རྫས་མང་པོ་ལྷ་ལ་འབུལ་ངེས།  ཆོས་འཆད་མཁན་གྱིས་མཛད་སྒོ་དང་དུས་སྟོན་ལ་བརྟེན་ནས་ལྷ་ཡི་དགོས་མཁོ་སྐོང་སྲིད།
每所神殿都有一处对外开放的庭院，以及一处只有祭司才能进入的内殿。	ལྷ་ཁང་རེ་རེ་ཚང་མར་ཕྱི་ཕྱོགས་ལ་སྒོ་འབྱེད་པའི་སྒོ་ར་ཞིག་དང་དེ་བཞིན་མཆོད་དཔོན་ལས་འཛུལ་མི་ཐུབ་པའི་ཕོ་བྲང་ཞིག་རེད།
有些特殊的塔呈金字塔形状，被称为金字形神塔，是作为庙宇的一部分而建造的。	ཁྱད་པར་ཅན་གྱི་མཆོད་རྟེན་ཁ་ཤས་ནི་གཏོར་གཟུགས་མཆོད་རྟེན་གྱི་དབྱིབས་སུ་སྣང་ཞིང་།  དེ་ལ་གསེར་ཡིག་གི་དབྱིབས་གཟུགས་མཆོད་རྟེན་ཟེར།   དེ་ནི་ལྷ་ཁང་གི་ཆ་ཤས་ཤིག་ཡིན་པའི་ཆ་ནས་བསྐྲུན་པ་རེད།
塔顶是上帝的特殊圣地。	མཆོད་རྟེན་ནི་དཀོན་མཆོག་གི་དམིགས་བསལ་གྱི་འདུ་གནས་ཤིག་ཡིན།
在中东温暖的气候中，房子并不是多重要。	དབུས་ཤར་རྒྱུད་ཀྱི་དྲོ་སྐྱིད་ལྡན་པའི་གནམ་གཤིས་ཁྲོད་ཁང་པ་ནི་ཧ་ཅང་གལ་ཆེན་ཞིག་མིན།
希伯来家庭的生活大多是在户外度过的。	ཞི་པོ་ལའེ་ཡི་ཁྱིམ་ཚང་གི་འཚོ་བ་མང་ཆེ་བ་ནི་ཕྱི་རོལ་ནས་རོལ་བ་ཡིན།
女人们在院子里做饭；商店其实就是面向街道的开放柜台。他们用石头来建造房屋。	བུད་མེད་རྣམས་ཀྱིས་ར་སྐོར་ནང་དུ་ཟ་མ་ལས་བཞིན་ཡོད། ཚོང་ཁང་ནི་དོན་དངོས་སུ་སྲང་ལམ་ལ་ཁ་ཕྱོགས་པའི་སྒོ་འབྱེད་སྟེགས་བུ་ཞིག་ཡིན། ཁོ་ཚོས་རྡོ་བཀོལ་ནས་ཁང་བ་བཟོ་སྐྲུན་བྱས།
迦南没有大森林，所以木材非常昂贵。	ཅ་ནན་ལ་ནགས་ཚལ་ཆེན་པོ་མེད་པས་ཤིང་ཆ་ཧ་ཅང་གོང་ཆེན་པོ་ཡིན།
格陵兰岛人烟稀少。据北欧史诗萨迦记载，红胡子埃里克因犯谋杀罪被逐出冰岛，他向西航行，发现陆地，于是将其命名为格陵兰岛。	ཀེ་ལིན་ལན་གླིང་ཕྲན་གྱི་མི་ཧ་ཅང་ཉུང་། ཡོ་རོབ་བྱང་མའི་ལོ་རྒྱུས་སྙན་ངག་ས་སྐྱ་ཡིས་འཁོད་པ་ལྟར་ན། སྨ་ར་དམར་པོ་ཨའེ་ལི་ཁེས་མི་བསད་པའི་ཉེས་པ་བསགས་པའི་རྐྱེན་གྱིས་འཁྱགས་གླིང་ནས་མཐར་སྐྲོད་བཏང་བ་དང་། ཁོང་གིས་ནུབ་ཕྱོགས་སུ་མཚོ་འགྲུལ་བྱས་ནས་སྐམ་ས་ཤེས་རྟོགས་བྱུང་རྗེས་དེར་ཀེ་ལིང་ལན་གླིང་ཕྲན་ཞེས་མིང་བཏགས་པ་རེད།
周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。	གཟའ་ཟླ་བ། སུའུ་ཙེར་སློབ་གླིང་ནོ་པེར་རྩོམ་རིག་ཨུ་ཡོན་ལྷན་ཁང་གི་རྒྱུན་ལས་དྲུང་ཡིག་ས་ལ·ཏན་ཉིར་སིས་སུའུ་ཙེར་རླུང་འཕྲིན་ལས་ཁུངས་ཀྱི་ལེ་ཚན་ཞིག་གི་ནང་སྤྱི་དམངས་ལ་ཨུ་ཡོན་ལྷན་ཁང་གིས་ཐད་ཀར་པའོ་པོ་ཏི་ལུན་ལ་འབྲེལ་བ་བྱེད་ཐབས་བྲལ་བས་ཁོང་ལ་2016ལོའི་ནོ་པེར་རྩོམ་རིག་བྱ་དགའ་ཐོབ་ནས་ཁོང་དང་འབྲེལ་བ་བྱེད་པའི་ཚོད་ལྟ་བྱེད་མཚམས་བཞག་པ་ཡིན་ཞེས་ཁྱབ་བསྒྲགས་བྱས་པ་རེད།
在旅途中，岩崎在很多场合碰到了麻烦。	ཡུལ་བསྐོར་གྱི་ལམ་བར་དུ།  བྲག་ནག་དེ་གནས་མང་པོར་རྙོག་དྲ་འཕྲད།
但不管他有没有发现，爱斯基摩人当时已经在那里生活了。	འོན་ཀྱང་ཁོང་གིས་ཤེས་རྟོགས་བྱུང་ཡོད་མེད་གང་ཡིན་རུང་ཨའེ་སི་ཅི་མོ་ནི་སྐབས་དེར་དེ་གར་འཚོ་བ་སྐྱེལ་བཞིན་ཡོད།
虽然均隶属于“斯堪的纳维亚”，但丹麦、瑞典、挪威和冰岛的民众、国王、习俗和历史之间存在着许多差异。	ཚང་མས་“སི་ཁན་ཏེ་ན་ཝི་ཡའི”ཁོངས་སུ་གཏོགས་ཡོད་མོད། འོན་ཀྱང་ཏེན་མག་དང་། སུའེ་ཏེན། ནོར་ཝེ་བཅས་དང་འཁྱགས་གླིང་བཅས་ཀྱི་དམངས་ཚོགས་དང་། རྒྱལ་པོ། གོམས་སྲོལ་དང་ལོ་རྒྱུས་སོགས་དབར་ཁྱད་པར་མང་པོ་ཡོད།
